[STDOUT] WARN StatusConsoleListener The use of package scanning to locate plugins is deprecated and will be removed in a future release
[STDOUT] WARN StatusConsoleListener The use of package scanning to locate plugins is deprecated and will be removed in a future release
[STDOUT] WARN StatusConsoleListener The use of package scanning to locate plugins is deprecated and will be removed in a future release
[STDOUT] WARN StatusConsoleListener The use of package scanning to locate plugins is deprecated and will be removed in a future release
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "apothic_sups_enchanting-0.1.0-neoforge-1.21.1.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "ApothicAttributes-1.21.1-2.9.1.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "ApothicEnchanting-1.21.1-1.5.2.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "ApothicSpawners-1.21.1-1.3.4.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "appleskin-neoforge-mc1.21-3.0.9.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "Aquaculture-1.21.1-2.7.19.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "aquaculturedelight-1.2.0-neoforge-1.21.1.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "aquariuslibs-1.0.1-neoforge-1.21.1-21.1.217.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "arcadia-admin-panel-1.2.0.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "arcadia-ah-1.2.0.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "arcadia-lib-1.2.0.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "arcadia-pets-1.2.0.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "arcadia-prestige-1.2.0.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "arcadia_spawn-1.5.0.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "ArcadiaLootbox-1.2.0.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "architectury-13.0.8-neoforge.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "ars_additions-1.21.1-21.3.0.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "ars_creo-1.21.1-5.2.0.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "ars_nouveau-1.21.1-5.11.3.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "ars_ocultas-1.21.1-2.4.0.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "ars_technica-1.21.1-2.7.6.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "arsdelight-2.1.9.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "artifacts-neoforge-13.2.1.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "athena-neoforge-1.21-4.0.2.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "attributefix-neoforge-1.21.1-21.1.3.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "baguettelib-1.21.1-NeoForge-2.0.3.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "balm-neoforge-1.21.1-21.0.56.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "barbequesdelight-1.2.2.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "bellsandwhistles-0.4.7-1.21.1.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "better_lib-neoforge-1.21.1-1.0.109.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "betterarcheology-neoforge-1.21.1-1.3.4.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "bettercombat-neoforge-2.3.2+1.21.1.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "BetterCopper-neoforge-1.21-1.3.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "BetterF3-11.0.3-NeoForge-1.21.1.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "betterfpsdist-1.21-6.0.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "BetterThirdPerson-neoforge-1.9.0.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "BiomesOPlenty-neoforge-1.21.1-21.1.0.13.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "bookshelf-neoforge-1.21.1-21.1.81.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "botanypots-neoforge-1.21.1-21.1.41.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "botanytrees-neoforge-1.21.1-21.1.3.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "buildinggadgets2-1.3.9.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "burgermod-neoforge-2.10.3-1.21.1.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "cable_facades-1.21.1-NeoForge-2.0.0.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
[STDOUT] [22:18:33] [main/INFO] [moddiscovery.ModDiscoverer]: Found mod file "caelus-neoforge-7.0.1+1.21.1.jar" [locator: {mods folder locator at C:\Users\Jimmy\curseforge\minecraft\Instances\Arcadia V2\mods}, reader: mod manifest]
